Input, Angle, DeltaT
2.35,0.00,5000
2.35,0.00,5001
2.35,0.00,5001
2.35,0.70,5004
2.35,16.20,5021
2.35,45.77,5039
2.35,85.92,5056
2.35,133.10,5074
2.35,183.80,5093
2.35,235.92,5111
2.35,285.21,5130
2.35,336.62,5149
2.35,395.07,5168
2.35,462.68,5186
2.35,530.99,5206
2.35,592.96,5224
2.35,645.07,5242
2.35,694.37,5261
2.35,744.37,5280
2.35,798.59,5299
2.35,852.11,5317
2.35,906.34,5336
2.35,960.56,5355
2.35,1011.27,5373
2.35,1071.13,5393
2.35,1139.44,5413
2.35,1213.38,5433
2.35,1281.69,5452
2.35,1341.55,5473
2.35,1392.25,5492
0.00,1445.77,5512
0.00,1465.49,5531
0.00,1465.49,5552
0.00,1465.49,5571
0.00,1465.49,5591
0.00,1465.49,5611
0.00,1465.49,5630
0.00,1465.49,5650
0.00,1465.49,5670
0.00,1465.49,5690
0.00,1465.49,5709
0.00,1465.49,5729
0.00,1465.49,5749
0.00,1465.49,5769
0.00,1465.49,5788
0.00,1465.49,5809
0.00,1465.49,5828
0.00,1465.49,5848
0.00,1465.49,5867
0.00,1465.49,5888
0.00,1465.49,5907
0.00,1465.49,5926
0.00,1465.49,5947
0.00,1465.49,5966
0.00,1465.49,5986
0.00,1465.49,6006
-2.35,1465.49,6026
-2.35,1448.59,6046
-2.35,1411.27,6067
-2.35,1364.08,6088
-2.35,1318.31,6109
-2.35,1269.01,6129
-2.35,1214.08,6151
-2.35,1145.07,6171
-2.35,1061.97,6192
-2.35,980.99,6213
-2.35,916.20,6233
-2.35,860.56,6252
-2.35,802.11,6273
-2.35,740.14,6292
-2.35,679.58,6311
-2.35,621.83,6331
-2.35,570.42,6351
-2.35,512.68,6371
-2.35,446.48,6390
-2.35,369.01,6411
-2.35,289.44,6430
-2.35,220.42,6450
-2.35,160.56,6470
-2.35,102.11,6490
-2.35,39.44,6509
0.00,-19.72,6528
0.00,-42.25,6547
0.00,-41.55,6565
0.00,-41.55,6584
0.00,-41.55,6603
0.00,-41.55,6622
0.00,-41.55,6640
0.00,-41.55,6659
0.00,-41.55,6678
0.00,-41.55,6696
0.00,-41.55,6715
0.00,-41.55,6733
0.00,-41.55,6753
0.00,-41.55,6771
0.00,-41.55,6790
0.00,-41.55,6809
0.00,-41.55,6828
0.00,-41.55,6846
0.00,-41.55,6864
0.00,-41.55,6884
0.00,-41.55,6902
0.00,-41.55,6921
0.00,-41.55,6940
0.00,-41.55,6959
0.00,-41.55,6977
0.00,-41.55,6995
0.00,-41.55,7015
2.82,-41.55,7033
2.82,-38.73,7052
2.82,-37.32,7071
2.82,-18.31,7090
2.82,26.76,7108
2.82,85.21,7126
2.82,154.23,7144
2.82,229.58,7162
2.82,302.82,7181
2.82,382.39,7199
2.82,470.42,7219
2.82,559.15,7237
2.82,640.14,7256
2.82,715.49,7275
2.82,788.73,7293
2.82,864.08,7312
2.82,939.44,7330
2.82,1012.68,7350
2.82,1097.18,7369
2.82,1191.55,7389
2.82,1283.10,7409
2.82,1366.20,7429
2.82,1445.07,7448
2.82,1522.54,7469
2.82,1602.11,7488
2.82,1679.58,7507
2.82,1758.45,7527
0.00,1846.48,7547
0.00,1899.30,7567
0.00,1902.82,7586
0.00,1902.82,7607
0.00,1902.82,7626
0.00,1902.82,7646
0.00,1902.82,7665
0.00,1902.82,7686
0.00,1902.82,7705
0.00,1902.82,7725
0.00,1902.82,7745
0.00,1902.82,7764
0.00,1902.82,7784
0.00,1902.82,7804
0.00,1902.82,7824
0.00,1902.82,7843
0.00,1902.82,7863
0.00,1902.82,7883
0.00,1902.82,7903
0.00,1902.82,7922
0.00,1902.82,7943
0.00,1902.82,7962
0.00,1902.82,7982
0.00,1902.82,8002
0.00,1902.82,8022
0.00,1902.82,8041
-2.82,1902.82,8060
-2.82,1872.54,8082
-2.82,1795.77,8102
-2.82,1701.41,8123
-2.82,1609.16,8144
-2.82,1521.13,8165
-2.82,1433.10,8185
-2.82,1345.07,8207
-2.82,1259.86,8227
-2.82,1176.06,8248
-2.82,1074.65,8269
-2.82,968.31,8290
-2.82,875.35,8309
-2.82,786.62,8329
-2.82,697.18,8349
-2.82,611.97,8369
-2.82,530.28,8388
-2.82,441.55,8409
-2.82,342.96,8428
-2.82,245.77,8448
-2.82,158.45,8468
-2.82,73.24,8487
-2.82,-9.15,8506
-2.82,-83.80,8524
-2.82,-161.27,8545
0.00,-251.41,8565
0.00,-310.56,8585
0.00,-315.49,8605
0.00,-315.49,8625
0.00,-315.49,8644
0.00,-315.49,8664
0.00,-315.49,8684
0.00,-315.49,8704
0.00,-315.49,8723
0.00,-315.49,8743
0.00,-315.49,8763
0.00,-315.49,8782
0.00,-315.49,8803
0.00,-315.49,8822
0.00,-315.49,8842
0.00,-315.49,8861
0.00,-315.49,8882
0.00,-315.49,8901
0.00,-315.49,8921
0.00,-315.49,8941
0.00,-315.49,8961
0.00,-315.49,8980
0.00,-315.49,9000
0.00,-315.49,9020
0.00,-315.49,9039
0.00,-315.49,9059
4.71,-315.49,9079
4.71,-264.79,9099
4.71,-146.48,9118
4.71,-2.82,9139
4.71,141.55,9156
4.71,296.48,9175
4.71,458.45,9193
4.71,622.54,9212
4.71,780.28,9231
4.71,941.55,9249
4.71,1101.41,9269
4.71,1275.35,9288
4.71,1443.66,9308
4.71,1610.56,9327
4.71,1776.06,9348
4.71,1951.41,9367
4.71,2117.61,9387
4.71,2276.06,9407
4.71,2440.14,9426
4.71,2609.86,9446
4.71,2773.24,9466
4.71,2930.99,9486
4.71,3092.25,9505
4.71,3253.52,9525
4.71,3421.13,9545
4.71,3580.28,9565
0.00,3741.55,9584
0.00,3828.87,9605
